iter	Accuracy	MultiClass
0	0.863261944	1.863962138
1	0.8769407419	1.643409025
2	0.8864759623	1.48265046
3	0.893215516	1.351454761
4	0.8961609505	1.241960314
5	0.9005541411	1.145951274
6	0.9005042185	1.066230866
7	0.9006539863	0.9976622311
8	0.9023014328	0.9355666128
9	0.9028505816	0.8814185212
10	0.9027008137	0.8338526251
11	0.9032499626	0.7899595148
12	0.9046977185	0.7496309613
13	0.9072936948	0.713183525
14	0.908841296	0.6781438207
15	0.9087414508	0.6487336398
16	0.9097898258	0.6220129791
17	0.9099895162	0.5967207444
18	0.910938046	0.5741250018
19	0.9119364984	0.5521157418
20	0.912385802	0.5314189354
21	0.9133842544	0.5122124105
22	0.9142828616	0.4942363332
23	0.9151814687	0.4773004963
24	0.9161299985	0.4606990568
25	0.9166292247	0.4459211483
26	0.9175777545	0.4314322974
27	0.9183765164	0.4173534005
28	0.9186760521	0.4053081326
29	0.9200239629	0.3935356526
30	0.9206729569	0.3819424647
31	0.9211222605	0.3714650328
32	0.9218710998	0.3619597099
33	0.9232190105	0.352218865
34	0.9236183915	0.3436761027
35	0.9245169987	0.3360163237
36	0.9249163796	0.3275720723
37	0.9254655284	0.3201561616
38	0.9262143677	0.3126432514
39	0.9265139034	0.306297509
40	0.9268633618	0.3002163589
41	0.9276122011	0.2945506221
42	0.9279117368	0.2892350578
43	0.9289601118	0.2839103668
44	0.9294094154	0.2784049207
45	0.9300084868	0.2724541924
46	0.9307573261	0.267274941
47	0.9311567071	0.2624324463
48	0.9316060107	0.2574440701
49	0.9323049274	0.2529745502
50	0.9331536119	0.2480641675
51	0.9337027607	0.2439772377
52	0.9342019869	0.2400142361
53	0.9344016774	0.2367113795
54	0.934850981	0.2336324046
55	0.9352503619	0.2307343657
56	0.935899356	0.2273638626
57	0.9363985822	0.2248819503
58	0.9367480405	0.2219380754
59	0.9372472667	0.2191834035
60	0.9374968798	0.2167652687
61	0.9380460287	0.2136355528
62	0.9382457191	0.2112609994
63	0.9386950227	0.2093335134
64	0.9393939394	0.2068934185
65	0.9395936299	0.2046481748
66	0.9402925466	0.202448586
67	0.9407418501	0.2006538168
68	0.9415905347	0.1983449085
69	0.941939993	0.1962935907
70	0.9422395287	0.1942829636
71	0.9426389097	0.1922160417
72	0.9430382906	0.190660395
73	0.9435874395	0.1891110518
74	0.9440866657	0.1874533849
75	0.9449852728	0.1855641474
76	0.9450351954	0.1838137431
77	0.9457341121	0.1822235373
78	0.9459338026	0.1805373712
79	0.9465827967	0.1790652098
80	0.946932255	0.1774110165
81	0.9472317907	0.1759652021
82	0.9478308622	0.1741789645
83	0.94798063	0.1731267687
84	0.9485297788	0.1717898063
85	0.9485297788	0.1703412269
86	0.9485297788	0.1693744202
87	0.9491288503	0.1679848687
88	0.9493285408	0.1666511843
89	0.9496779991	0.1652097043
90	0.9499775348	0.1640454585
91	0.9505266836	0.1629138535
92	0.950876142	0.1613887861
93	0.9511756777	0.1601723365
94	0.9516249813	0.1590642981
95	0.9514752134	0.1584100171
96	0.9522240527	0.1572466238
97	0.9525735111	0.1560883536
98	0.9527232789	0.1552615606
99	0.9528231242	0.1543849403
100	0.9530727373	0.1537198365
101	0.9535220408	0.1524410421
102	0.9537716539	0.1510380894
103	0.9538215766	0.1503276188
104	0.9541710349	0.1494629624
105	0.9544705706	0.1486828603
106	0.9550696421	0.1476428589
107	0.9555189456	0.1468953602
108	0.955868404	0.1461549076
109	0.9556687135	0.1452977096
110	0.9561180171	0.1445266651
111	0.9562677849	0.1437688263
112	0.9561180171	0.1430483057
113	0.9563676302	0.1424962981
114	0.9566172433	0.1419345032
115	0.9568169338	0.1412841536
116	0.9571164695	0.1405988974
117	0.9574659278	0.1399631849
118	0.9576156957	0.1389341043
119	0.9581648445	0.1378229731
120	0.9582147671	0.1371944544
121	0.9583146124	0.1365520768
122	0.9585642255	0.1360393096
123	0.9586141481	0.1354647371
124	0.9588637612	0.1349179841
125	0.9591632969	0.1341410132
126	0.9596126005	0.1331289686
127	0.9596625231	0.1325400491
128	0.9598622136	0.1321658838
129	0.9601118267	0.1314561395
130	0.9601617493	0.130826431
131	0.9606110529	0.1303413624
132	0.9607108981	0.1294262874
133	0.9610603564	0.1285418821
134	0.9610104338	0.1279768809
135	0.9613099695	0.1275735451
136	0.9617592731	0.126903971
137	0.9619589636	0.1265459344
138	0.9620088862	0.1261818422
139	0.961909041	0.1256506089
140	0.9620088862	0.1250629131
141	0.9622085767	0.1243613701
142	0.9624581898	0.1237128252
143	0.9626079577	0.123507873
144	0.9627577255	0.122831683
145	0.9631071839	0.1221592799
146	0.9632569517	0.1216849915
147	0.9634566422	0.1211525225
148	0.9635564874	0.1207256615
149	0.9639558684	0.1199706049
150	0.9639558684	0.1196943446
151	0.9643552494	0.1190990001
152	0.9643552494	0.1185738068
153	0.9644550946	0.1181384497
154	0.9646048625	0.1178858352
155	0.9647546303	0.1173332955
156	0.9651040887	0.1167263493
157	0.9652039339	0.1164004413
158	0.965453547	0.1158016215
159	0.9658030053	0.115303162
160	0.965852928	0.114987907
161	0.9661524637	0.114457522
162	0.9660526184	0.1141386449
163	0.9663521542	0.1136913527
164	0.9667515351	0.1131548874
165	0.9666017673	0.1128657824
166	0.9666516899	0.1124789734
167	0.9668513804	0.1121271035
168	0.9671509161	0.1115015827
169	0.9674005292	0.1111619518
170	0.9674504518	0.1106831473
171	0.9677999101	0.1102235238
172	0.967949678	0.1099392169
